duplicate_key,normalized_filename,extension,size_bytes,match_count,relative_path,category,root_folder
index general cargo 2e novayansa mudrika|120504|.xlsx,index general cargo 2e novayansa mudrika,.xlsx,120504,2,01_SCAN DOCS/00-OTHER/CHECK LIST - INDEX/INDEX GENERAL CARGO - 2E NOVAYANSA MUDRIKA.xlsx,inbox_scan,01_SCAN DOCS
index general cargo 2e novayansa mudrika|120504|.xlsx,index general cargo 2e novayansa mudrika,.xlsx,120504,2,04_DOCUMENT/INDEX GENERAL CARGO - 2E NOVAYANSA MUDRIKA.xlsx,crew_document,04_DOCUMENT
index general cargo co yusuf|120512|.xlsx,index general cargo co yusuf,.xlsx,120512,2,01_SCAN DOCS/00-OTHER/CHECK LIST - INDEX/INDEX GENERAL CARGO - CO YUSUF.xlsx,inbox_scan,01_SCAN DOCS
index general cargo co yusuf|120512|.xlsx,index general cargo co yusuf,.xlsx,120512,2,04_DOCUMENT/INDEX GENERAL CARGO - CO YUSUF.xlsx,crew_document,04_DOCUMENT
index general cargo|114225|.xlsx,index general cargo,.xlsx,114225,2,01_SCAN DOCS/00-OTHER/CHECK LIST - INDEX/INDEX GENERAL CARGO.xlsx,inbox_scan,01_SCAN DOCS
index general cargo|114225|.xlsx,index general cargo,.xlsx,114225,2,04_DOCUMENT/INDEX GENERAL CARGO.xlsx,crew_document,04_DOCUMENT
index tanker 3e wahyu eka sepriyadi|120514|.xlsx,index tanker 3e wahyu eka sepriyadi,.xlsx,120514,2,01_SCAN DOCS/00-OTHER/CHECK LIST - INDEX/INDEX TANKER - 3E WAHYU EKA SEPRIYADI.xlsx,inbox_scan,01_SCAN DOCS
index tanker 3e wahyu eka sepriyadi|120514|.xlsx,index tanker 3e wahyu eka sepriyadi,.xlsx,120514,2,04_DOCUMENT/INDEX TANKER - 3E WAHYU EKA SEPRIYADI.xlsx,crew_document,04_DOCUMENT
index tanker 3o bastian fredrich rumbiak|120494|.xlsx,index tanker 3o bastian fredrich rumbiak,.xlsx,120494,2,01_SCAN DOCS/00-OTHER/CHECK LIST - INDEX/INDEX TANKER - 3O BASTIAN FREDRICH RUMBIAK.xlsx,inbox_scan,01_SCAN DOCS
index tanker 3o bastian fredrich rumbiak|120494|.xlsx,index tanker 3o bastian fredrich rumbiak,.xlsx,120494,2,04_DOCUMENT/INDEX TANKER - 3O BASTIAN FREDRICH RUMBIAK.xlsx,crew_document,04_DOCUMENT
